Feature,Importance
EXT_SOURCE_MEAN,0.09794155
WEEKDAY_APPR_PROCESS_START,0.082230404
FLAG_PHONE,0.055277288
FLAG_DOCUMENT_3,0.054466058
OBS_30_CNT_SOCIAL_CIRCLE,0.053852737
NAME_EDUCATION_TYPE,0.05155514
AMT_REQ_CREDIT_BUREAU_YEAR,0.042959623
FLAG_OWN_CAR,0.040678818
EXT_SOURCE_MAX,0.037901826
CODE_GENDER,0.03109236
TOTALAREA_MODE,0.03104865
HOUR_APPR_PROCESS_START,0.027349835
FLAG_OWN_REALTY,0.024255453
CREDIT_GOODS_RATIO,0.023346366
OBS_60_CNT_SOCIAL_CIRCLE,0.022558512
NAME_INCOME_TYPE,0.022425704
NAME_FAMILY_STATUS,0.01763853
REGION_POPULATION_RELATIVE,0.01632223
BU_AMT_CREDIT_SUM_DEBT_sum,0.016232457
YEARS_BEGINEXPLUATATION_MODE,0.016088303
